ID,Group,Mtb.burden,Plasma.Wk8.HspX.IgG1,Plasma.Wk8.PPD.IgG1,Plasma.Wk8.LAM.IgG1,Plasma.Wk8.PstS1.IgG1,Plasma.Wk8.Apa.IgG1,Plasma.Wk8.HspX.IgM,Plasma.Wk8.PPD.IgM,Plasma.Wk8.LAM.IgM,Plasma.Wk8.PstS1.IgM,Plasma.Wk8.Apa.IgM,Plasma.Wk8.HspX.IgA,Plasma.Wk8.PPD.IgA,Plasma.Wk8.LAM.IgA,Plasma.Wk8.PstS1.IgA,Plasma.Wk8.Apa.IgA,Plasma.ToC.HspX.IgG1,Plasma.ToC.PPD.IgG1,Plasma.ToC.LAM.IgG1,Plasma.ToC.PstS1.IgG1,Plasma.ToC.Apa.IgG1,Plasma.ToC.HspX.IgM,Plasma.ToC.PPD.IgM,Plasma.ToC.LAM.IgM,Plasma.ToC.PstS1.IgM,Plasma.ToC.Apa.IgM,Plasma.ToC.HspX.IgA,Plasma.ToC.PPD.IgA,Plasma.ToC.LAM.IgA,Plasma.ToC.PstS1.IgA,Plasma.ToC.Apa.IgA,Plasma.pi.HspX.IgG1,Plasma.pi.PPD.IgG1,Plasma.pi.LAM.IgG1,Plasma.pi.PstS1.IgG1,Plasma.pi.Apa.IgG1,Plasma.pi.HspX.IgM,Plasma.pi.PPD.IgM,Plasma.pi.LAM.IgM,Plasma.pi.PstS1.IgM,Plasma.pi.Apa.IgM,Plasma.pi.HspX.IgA,Plasma.pi.PPD.IgA,Plasma.pi.LAM.IgA,Plasma.pi.PstS1.IgA,Plasma.pi.Apa.IgA,Plasma.Wk8.HspX.R2A,Plasma.Wk8.PPD.R2A,Plasma.Wk8.LAM.R2A,Plasma.Wk8.PstS1.R2A,Plasma.Wk8.Apa.R2A,Plasma.Wk8.HspX.R3A,Plasma.Wk8.PPD.R3A,Plasma.Wk8.LAM.R3A,Plasma.Wk8.PstS1.R3A,Plasma.Wk8.Apa.R3A,Plasma.ToC.HspX.R2A,Plasma.ToC.PPD.R2A,Plasma.ToC.LAM.R2A,Plasma.ToC.PstS1.R2A,Plasma.ToC.Apa.R2A,Plasma.ToC.HspX.R3A,Plasma.ToC.PPD.R3A,Plasma.ToC.LAM.R3A,Plasma.ToC.PstS1.R3A,Plasma.ToC.Apa.R3A,Plasma.pi.HspX.R2A,Plasma.pi.PPD.R2A,Plasma.pi.LAM.R2A,Plasma.pi.PstS1.R2A,Plasma.pi.Apa.R2A,Plasma.pi.HspX.R3A,Plasma.pi.PPD.R3A,Plasma.pi.LAM.R3A,Plasma.pi.PstS1.R3A,Plasma.pi.Apa.R3A,BAL.Wk4.HspX.IgG1,BAL.Wk4.PPD.IgG1,BAL.Wk4.LAM.IgG1,BAL.Wk4.PstS1.IgG1,BAL.Wk4.Apa.IgG1,BAL.Wk4.HspX.IgM,BAL.Wk4.PPD.IgM,BAL.Wk4.LAM.IgM,BAL.Wk4.PstS1.IgM,BAL.Wk4.Apa.IgM,BAL.Wk4.HspX.IgA,BAL.Wk4.PPD.IgA,BAL.Wk4.LAM.IgA,BAL.Wk4.PstS1.IgA,BAL.Wk4.Apa.IgA,BAL.Wk16.HspX.IgG1,BAL.Wk16.PPD.IgG1,BAL.Wk16.LAM.IgG1,BAL.Wk16.PstS1.IgG1,BAL.Wk16.Apa.IgG1,BAL.Wk16.HspX.IgM,BAL.Wk16.PPD.IgM,BAL.Wk16.LAM.IgM,BAL.Wk16.PstS1.IgM,BAL.Wk16.Apa.IgM,BAL.Wk16.HspX.IgA,BAL.Wk16.PPD.IgA,BAL.Wk16.LAM.IgA,BAL.Wk16.PstS1.IgA,BAL.Wk16.Apa.IgA,BAL.Wk4.HspX.R2A,BAL.Wk4.PPD.R2A,BAL.Wk4.LAM.R2A,BAL.Wk4.PstS1.R2A,BAL.Wk4.Apa.R2A,BAL.Wk4.HspX.R3A,BAL.Wk4.PPD.R3A,BAL.Wk4.LAM.R3A,BAL.Wk4.PstS1.R3A,BAL.Wk4.Apa.R3A,BAL.Wk16.HspX.R2A,BAL.Wk16.PPD.R2A,BAL.Wk16.LAM.R2A,BAL.Wk16.PstS1.R2A,BAL.Wk16.Apa.R2A,BAL.Wk16.HspX.R3A,BAL.Wk16.PPD.R3A,BAL.Wk16.LAM.R3A,BAL.Wk16.PstS1.R3A,BAL.Wk16.Apa.R3A
05G,Hi-ID,50,-0.051826215,-0.268034562,1.204601724,-0.499984412,0.673383463,0.679617844,2.101456222,1.364608633,0.197658834,1.388754775,-0.746298904,-0.877083045,0.750468597,-1.292218897,-0.790202874,-0.10155199,-0.497481178,-0.357246354,-0.436231709,-0.263108843,1.771195484,2.043124675,0.335012574,0.311466009,1.442943763,-1.618731935,-0.75898814,-0.382244916,-1.16203506,-0.718326586,1.526967087,0.276901152,-0.064436568,-0.292538793,-0.071190116,2.213784468,2.482505154,0.559355848,0.194818979,1.613735845,-0.201028254,-0.621210751,-0.22416087,-1.069046604,-0.531448239,-0.162617178,-0.22881973,-0.450619243,-0.553981239,-0.124173634,0.10794549,-0.538029146,-0.476955378,-0.743769203,-0.373729733,0.43180118,-0.212510063,-0.454035762,-0.501629104,-0.371911285,0.529235568,-0.330199994,-0.477915746,-0.589714646,-0.274502184,-0.736178754,-0.240950888,-0.453607358,-0.534821704,-0.492745462,0.030708974,-0.407843091,-0.47921868,-0.598059064,-0.323494232,-0.660258647,-0.207872866,-0.327136083,-0.235274481,-0.246537203,-0.215196579,-0.399416355,-0.301757559,-0.282729097,-0.347399789,-0.539972495,-0.215485848,-0.345009794,-0.308671906,-0.34332619,-0.720527513,-0.211424082,-0.335093322,-0.244651296,-0.262967837,-0.209642824,-0.403875992,-0.301872366,-0.283216624,-0.337862685,-0.625587682,-0.212065319,-0.365620888,-0.352756947,-0.36208756,0.228154062,-0.13079141,-0.242516441,-0.132081289,-0.126688711,-0.835534647,-0.214959453,-0.303643664,-0.37929978,-0.462276209,-0.045745509,-0.167135805,-0.243146781,-0.280916827,-0.331611147,-0.010248558,-0.210699702,-0.347911632,-0.347624384,-0.385514996
077,ID/AE,22800,-0.491175455,-0.163765533,-0.086802243,-0.391210116,-0.242580015,-0.193646695,0.113373934,-0.735071756,-0.484201994,-1.082892288,-0.404922831,0.95552115,-0.146074829,-0.42416654,-0.206478221,-0.464188207,-0.379284517,-0.513232096,-0.608596013,-0.306901816,-0.708116044,0.254472971,-0.937058187,-0.497938671,-1.135293641,-1.129820782,2.137187232,-0.584884563,-0.598000164,-0.553680141,-0.450694583,-0.406626478,-0.395691686,-0.526893931,-0.338088144,-0.929771362,0.002101605,-0.65093182,-0.465962234,-1.06712928,-0.740851149,0.358951866,-0.411791202,-0.278522154,-0.310638797,0.57449635,-0.197984792,2.285006098,-0.250205477,0.502828957,-0.205119849,-0.160950685,4.57091643,-0.203984004,1.52190691,0.930278332,-0.190045307,0.113836049,-0.338472986,-0.32914171,0.27196776,-0.413290751,1.132029004,-0.636899906,-0.333394605,1.564498389,-0.200319934,2.416585415,-0.353604558,1.075999589,0.048028677,-0.342028047,3.406012262,-0.499922609,0.493424549,-0.024087281,-0.167337948,-0.332170061,-0.241188825,-0.207577567,-0.144784544,-0.245668787,-0.268604007,-0.249580534,-0.246858631,-0.595089233,-0.274275348,-0.354310651,-0.280593934,-0.389022491,-0.386309255,-0.139627701,-0.333302761,-0.257107025,-0.226581557,-0.355641634,-0.325221477,-0.293218961,-0.271074559,-0.363172264,-0.582388077,-0.191855576,-0.361478443,-0.304079714,-0.436667647,1.549178145,-0.141180594,-0.242796178,-0.166786282,-0.368545252,1.215350777,-0.20902739,-0.342564519,-0.346276922,-0.212342431,1.145230097,-0.153696742,-0.243192624,-0.164719135,-0.364271885,3.401951245,-0.19650726,-0.346545236,-0.190141237,0.184257164
07C,IV,0,-0.411820096,-0.441649168,2.538717453,-0.028750649,0.003026442,-0.302742092,-0.23239785,1.458664483,-0.194043631,0.680400168,0.157229886,0.391229669,2.657604698,0.137855898,-0.481893444,-0.932127799,-0.452356677,0.163012714,-0.228367092,-0.260002268,-0.340406567,-0.667797214,-0.206364304,-0.081538971,-0.276259814,-0.892580344,0.468510591,-0.010076909,-0.537117265,-0.802231375,-0.373748802,0.285696606,-0.199995787,-0.077569887,-0.20334993,-0.213657422,-0.881151594,-0.441287069,-0.281472672,-0.40596065,-0.803234794,1.040389395,0.005341779,-0.651877803,-0.473608841,0.357620269,0.019512849,-0.441648363,5.957101984,0.227764209,-0.326016639,1.054166379,-0.473080566,3.959887034,-0.123313623,0.417741851,-0.133449727,-0.451010904,1.303302674,-0.467544596,-0.76531437,0.092937014,-0.475503637,1.813291039,-0.438707614,3.183334597,0.153533321,-0.445663926,3.397512364,-0.055139784,0.074746201,0.237564701,-0.473505597,1.712792454,-0.358284569,-0.498409021,-0.138949785,1.239491168,0.174501957,0.338165042,-0.170303718,-0.185059747,-0.209101864,-0.210090207,-0.228268239,-0.055650362,-0.126829045,0.726527148,0.049820524,0.013411764,-0.112414057,-0.182104274,-0.328388126,-0.201680312,-0.19199478,-0.325346076,-0.299001017,-0.295967171,-0.275183138,-0.374207426,-0.117753317,-0.126829045,-0.308933334,-0.257227673,-0.279700671,-2.126186335,-0.005531752,4.597901302,8.371407532,3.430426443,-1.240062918,-0.13757914,3.575081415,3.086719054,1.555140635,-0.013172051,-0.138257028,-0.045186153,0.681785295,-0.135042192,0.346891217,-0.207630105,0.037849675,-0.082189292,-0.100395551
07E,Lo-ID,9645616.724,-0.196082757,-0.247040306,-0.460771248,-0.260925784,-0.251012264,0.537827317,1.838853528,-0.460894654,-0.225908637,-0.060027192,0.187883641,-0.745352685,-0.281748399,0.204776388,0.328399271,-0.640247869,-0.702295703,-0.536082352,-0.851337762,-0.560915862,-0.505005712,0.481199094,-0.272149125,-0.388282438,-0.250445019,0.085430155,0.188972468,-0.660135943,-1.32860617,-0.319944146,-0.462581823,-0.65903614,-0.511863773,-0.825430351,-0.416025868,-0.362852591,0.623135694,-0.074498934,-0.346585782,0.3904613,0.085430155,-0.204677216,-0.517372028,-1.283970033,0.204059438,-0.105589189,-0.228358222,-0.458415587,-0.357782533,-0.683478734,0.205068707,0.131605741,-0.479432422,1.56474672,-0.221314952,1.504029517,-0.30290936,-0.463679439,-0.668927893,-0.963816314,-0.058758541,-0.66341161,-0.488425333,-0.838690062,-0.859277762,1.711722249,-0.302215671,-0.463422129,-0.662166925,-0.962213076,-0.115292952,-0.607390167,-0.483644991,-0.793949651,-0.7545376,0.088318937,-0.204913519,-0.333894169,-0.247572687,-0.250551763,-0.517319405,-0.330809621,-0.299666696,-0.281230842,-0.341857149,-0.411526321,-0.327309852,-0.349765397,-0.359422445,-0.307691711,0.781889221,-0.196627348,-0.330348817,-0.198533024,-0.210324412,-0.388559559,-0.279892116,-0.300022028,-0.27819866,-0.337566165,-0.040152903,-0.268315472,-0.351014395,-0.335820398,-0.336067635,0.217439679,-0.152830291,-0.243983296,-0.166030009,-0.300899048,0.086345003,-0.225395044,-0.347742712,-0.301352924,-0.362214277,-0.162903445,-0.11976979,-0.220797692,-0.095969667,-0.162399297,-0.048505775,-0.205612156,-0.325071136,-0.24774598,-0.282227805
0BD,AE,90895.5,-0.672711762,0.106040576,-0.493568911,-0.491760857,-0.189228625,-0.519742124,-0.863516644,-0.506419107,-0.339091525,-0.116313413,0.910993391,0.607616245,-0.281414996,-0.241370442,0.080334609,-0.486782181,-0.020087973,-0.515481072,-0.530566398,-0.294654973,-0.350214408,-0.305270493,-0.348868802,-0.074933883,-0.366589836,0.182313529,0.110120327,-0.559940548,0.441029381,0.035891349,-0.288457294,1.009436311,-0.449987229,-0.080627254,0.028213217,-0.549558556,-0.925543995,-0.391047357,-0.163074198,-0.652042429,0.112915448,0.385433603,-0.161547943,0.482386945,0.663035134,-0.599829964,-0.183168263,-0.459491678,-0.323047799,-0.330846342,0.146929219,1.054487299,-0.478233499,-0.02221877,0.012624037,-0.079384966,-0.25368281,-0.462896292,-0.557975168,-0.827629506,0.377287621,0.658219937,-0.480991103,-0.140204032,-0.151134275,0.602976254,-0.204180173,-0.461342877,-0.495993044,-0.683709301,0.838004428,1.486035542,-0.478813618,-0.208800115,0.07446284,-0.480977842,-0.205702678,-0.334834382,-0.256248935,-0.246030084,-0.488272637,-0.35929762,-0.300206881,-0.280400094,-0.340266345,-0.259845609,-0.249442377,-0.3542809,-0.325883489,-0.316226431,-0.258466206,-0.181198126,-0.334115795,-0.266563431,-0.283068163,-0.440762629,-0.353346639,-0.301944694,-0.280102013,-0.344934099,-0.373905318,-0.328549897,-0.361777703,-0.350303718,-0.334987803,0.942998125,-0.103624614,-0.243312619,-0.161255297,-0.159971396,0.013867193,-0.22388455,-0.352958812,-0.328298489,-0.313427777,1.037886486,-0.117633808,-0.243999862,-0.143883819,0.047437758,0.989007256,-0.192888103,-0.353077645,-0.231817951,-0.094508873
0E1,IV,0,0.033586037,0.96156646,2.290960012,1.389246928,0.263910236,1.137038772,3.250063506,2.490991475,0.733113093,2.34468521,-1.824068092,-1.206462666,0.436975952,-0.421360022,-0.509190335,-0.302690391,-0.097833358,-0.424857417,-0.318704044,-0.220266027,1.290637064,2.317015017,0.678173982,0.23560318,1.490674098,-2.099650821,-1.430051898,-0.396605503,-0.795983808,-1.050908745,-0.262337218,-0.342544076,-0.417937206,-0.525912002,-0.236540859,0.753951906,1.478322662,0.295213258,0.1113034,1.585460824,-2.600710338,-1.422472602,-0.46261377,-1.032925347,-0.950428718,0.889576421,-0.077401225,0.579285805,0.098414908,0.166252038,-0.258449216,0.4466992,-0.143856638,1.699000299,0.401627374,0.877242509,-0.195734273,-0.279279762,-0.363777489,-0.433625313,-0.175467836,-0.279913822,-0.37274442,-0.412582259,-0.372898494,0.667565995,-0.211675513,-0.356751029,-0.374136974,-0.404192078,0.289227887,-0.411217534,-0.415526358,-0.495757684,-0.501815613,0.104088692,-0.061072732,1.413828432,0.330434128,0.056720052,0.749914289,0.862926691,0.699060846,0.191593285,0.754244913,0.518444155,0.341205338,1.035873303,0.610814132,0.185031425,0.060142644,-0.194463773,-0.304921954,-0.218478283,-0.210997171,-0.284511137,-0.293645504,-0.269379091,-0.263560574,-0.308053716,-0.09703097,-0.236009025,-0.322281374,-0.310389327,-0.45087385,-1.623036868,-0.13806582,0.058384376,-0.267008108,-0.199520408,0.524505955,-0.182391877,0.273334964,0.014618871,0.051861968,-0.01129096,-0.114557549,-0.240557319,-0.172250012,-0.084193919,0.152130682,-0.206663516,-0.337581026,-0.242009739,-0.142923656
0EN,ID/AE,501479.0151,-0.545837522,-0.084153877,-0.219135797,-0.209573626,-0.145153038,-0.565910204,-1.046125373,-0.617247166,-0.46933779,-0.801727266,-1.371903316,-0.695020066,-0.351275479,-0.73103592,-0.440053822,-0.287825687,-0.325824711,-0.428914041,-0.437552058,-0.260889863,-0.536418941,-0.515126578,-0.621964686,-0.364204012,-0.870333825,-0.810538167,-0.463750877,-0.407920541,-0.775134989,-0.518436155,-0.301405256,-0.245267766,-0.122027301,-0.348893779,-0.257031969,-0.575526921,-1.046672373,-0.734052141,-0.469130045,-1.056276835,-0.364748196,-0.252164172,-0.305065035,-0.45541673,-0.016789239,0.100817164,-0.180029557,-0.368502633,-0.196116622,0.19127632,-0.681434721,-0.115707895,-0.460833962,-0.152544851,0.063176993,1.589164824,-0.188313629,-0.410852296,-0.24511217,-0.224603866,-0.264156931,-0.343196288,-0.470020081,-0.34403171,-0.235310723,1.03730558,-0.170626017,-0.361585559,-0.22878032,0.012272874,-0.233247464,-0.275332104,-0.467382968,-0.355999639,-0.235310723,-0.668926759,-0.194446892,-0.331438955,-0.234245669,-0.242679276,-0.3314972,-0.331724834,-0.292788294,-0.274247556,-0.338182124,-0.419820799,-0.382995443,-0.341999325,-0.347225537,-0.349836985,-0.588619258,-0.215409849,-0.333627125,-0.238710818,-0.258644892,-0.308341763,-0.359509752,-0.290164785,-0.273530604,-0.356012362,-0.583474608,-0.355679383,-0.351261829,-0.356896153,-0.416401301,0.451553793,-0.127057215,-0.242672905,-0.129178031,-0.1335314,1.565816806,-0.192474869,-0.325641289,-0.208629122,-0.013523488,2.752664744,-0.130978267,-0.243134878,-0.103197486,-0.062059327,2.693046128,-0.191375082,-0.345638776,-0.085033533,0.020963433
0MI,Hi-ID,67930,1.338485971,2.231148973,-0.212957003,0.476274465,0.804896593,2.18864142,1.763498531,2.450278957,1.234844348,2.998793319,0.730446451,1.843473658,1.473485282,4.484957377,1.992862361,0.392231752,1.015952953,-0.426544556,-0.087378354,-0.026729121,1.641835257,1.112652225,0.700811644,0.442411115,2.008917521,-0.881268045,0.132191005,-0.050828946,0.105727962,0.142745562,1.151571559,1.380411907,-0.410605972,0.716859804,0.130705591,1.684178056,0.925135253,0.604005452,0.441155277,1.419801155,-0.085876478,0.15952779,0.083813286,1.559079931,0.858448638,-0.767575168,0.077151525,-0.45109028,0.341571819,-0.281888552,-0.038714523,1.36818047,-0.479762272,0.519278156,0.34964266,-0.124073842,-0.177816428,-0.459225624,-0.407233456,-0.48529368,-1.116808601,-0.285738573,-0.482422401,-0.683007779,-0.396385564,-0.529974678,-0.142327646,-0.455206321,-0.178007351,-0.239732049,-0.925619505,-0.362278342,-0.483902561,-0.19935063,-0.560250008,-0.954082801,-0.211347358,-0.305010635,-0.257563673,-0.275124458,-0.161047458,-0.293983676,-0.294764343,-0.273185915,-0.322869304,-0.425401811,-0.238867185,-0.317422437,0.71290921,0.425706089,-0.484071588,-0.218120974,-0.296771931,-0.246152735,-0.244370338,-0.178886263,-0.3202196,-0.2914777,-0.263258889,-0.32348093,-0.453852398,-0.257445226,-0.27812517,0.136638658,-0.030084867,1.630748973,-0.143267651,-0.234977352,-0.128084683,-0.255310949,0.188906924,-0.20846516,-0.077505168,-0.187141757,-0.196457832,-0.956287329,-0.142086843,-0.231328548,-0.222293027,-0.230932877,-1.246041194,-0.229875935,-0.106263923,-0.343279983,-0.417012381
0NF,ID/AE,397670.9677,0.558509841,0.401980421,-0.073218149,0.064407822,1.139002158,-0.612657531,-1.058731664,-0.556160156,-0.305888471,-0.78152612,-0.050061919,-0.503069499,1.402440852,0.403465164,0.20023153,-0.003773905,-0.359562447,-0.347612767,-0.439423041,0.282742542,-0.301331743,-0.776542813,-0.694961696,-0.36677739,-0.867007712,-0.491221396,-0.414081187,0.062933787,-0.235971356,0.067312482,0.804508976,0.075604906,-0.230623488,0.056099032,10.58622265,-0.075226802,-0.210721036,-0.546965063,-0.328641774,-0.770566941,-0.362549883,-0.166891431,2.651832638,0.967303276,0.46148621,-0.777475189,-0.133208378,-0.45439901,0.221073471,-0.260668761,-0.535352223,0.183010879,-0.4762559,0.229879453,-0.318035261,0.005526425,-0.180245029,-0.453660498,-0.237039351,0.021194187,-0.947435689,-0.476825979,-0.479597414,-0.627996839,-0.518405756,-0.412974438,-0.10978375,-0.453034628,-0.031494173,-0.058859761,-0.668673345,-0.331892517,-0.477331424,-0.311230216,-0.235684663,-0.320507687,-0.153123032,-0.151561501,-0.230494459,-0.21776918,-0.452684533,-0.297825275,-0.292890903,-0.26860604,-0.342075895,-0.724982229,-0.177721451,-0.214326072,-0.31375033,-0.309972641,-0.196424726,-0.164973203,-0.155197118,-0.218805205,-0.200944595,-0.287109935,-0.198217487,-0.287312738,-0.2425538,-0.317118493,-0.421367774,-0.231283006,-0.201625214,-0.322615061,-0.309972641,-0.046191099,-0.16240628,-0.170809747,-0.188961637,-0.126561396,-0.189285236,-0.21435278,0.450054139,-0.069283476,0.195065215,0.408219473,-0.159913856,-0.063577043,-0.132361163,-0.183660298,-0.308910262,-0.223581088,0.47954267,-0.108493244,0.195065215
0NR,IV,30,-0.1326306,0.434412372,0.442517595,0.843577583,0.430186216,0.121543731,0.057674288,0.188219403,-0.180364924,0.005760037,0.743190142,0.706087093,0.097852555,0.94020725,0.328093014,-0.257227565,-0.116821147,-0.361240605,-0.166173843,-0.037152521,0.041199531,-0.439673903,-0.547599594,-0.43540523,-0.492237528,0.436152886,-0.04685196,-0.333622677,0.030981393,0.172821352,-0.43720096,0.00429495,-0.481435282,-0.083687107,-0.177750191,-0.403321638,-0.729649845,-0.823039148,-0.441630694,-0.649863142,-0.362143981,-0.076730494,-0.452756266,-0.106164407,-0.388545435,-1.031508708,-0.156250927,0.197294448,-0.235787056,0.333118232,0.914389514,0.982784275,1.706496922,1.735930187,2.122584027,-1.8230078,-0.170403706,-0.18644619,-0.434290344,0.345820074,0.030664252,-0.004950042,0.21474926,-0.065563655,0.688084154,-0.937282624,-0.193850847,-0.244248421,-0.422573136,0.331706916,-0.341430595,-0.165183743,0.127231098,-0.247433429,0.239943692,0.274760908,0.039888129,0.394287771,0.029001863,0.301547841,2.133812817,1.163022654,1.974353761,1.1553714,2.028000212,0.980518869,0.280918505,1.352037926,0.642174753,0.530388843,-0.412107916,-0.128912541,-0.17788745,-0.193163435,-0.150269239,0.573697858,-0.042312722,-0.067861167,-0.116105193,0.007030379,-0.695700993,-0.191114575,-0.091371816,-0.243857228,-0.235801342,0.42090946,-0.094694856,0.032563098,-0.071335784,0.11663126,1.083073579,0.31587671,1.384621345,2.942910988,1.714355557,0.791427324,-0.126295117,-0.233333875,-0.13993054,-0.16911832,0.113594467,-0.186852846,0.173927262,-0.22620667,-0.15191517
